trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2131698,8,249232,Gladstone,"0435",1,0435,108,
2131709,8,249232,Hoboken,"0438",0,0438,8,
2131699,8,249232,Gladstone,"0439",1,0439,108,
2131700,8,249232,Hoboken,"0440",0,0440,8,
2131701,8,249232,Hoboken,"0442",0,0442,8,
2131710,8,249232,Gladstone,"0443",1,0443,108,
2131708,8,249232,Gladstone,"0447",1,0447,108,
2131711,8,249232,Gladstone,"0449",1,0449,108,
2131702,8,249232,Gladstone,"0451",1,0451,108,
2131703,8,249232,Gladstone,"0453",1,0453,108,
2131704,8,249232,Hoboken,"0480",0,0480,8,
2131705,8,249232,Bernardsville,"0481",1,0481,108,
2131716,8,249232,Bernardsville,"0485",1,0485,108,
2132329,8,249235,Summit,"0714",0,0714,8,
2132333,8,249235,Summit,"0718",0,0718,8,
2132337,8,249235,Summit,"0722",0,0722,8,
2132342,8,249235,Summit,"0726",0,0726,8,
2132345,8,249235,Summit,"0730",0,0730,8,
2134528,2,249240,Bay Street (Montclair),"0505",1,0505,102,
2132248,2,249235,Hoboken,"0510",0,0510,2,
2132659,2,249235,Bay Street (Montclair),"0513",1,0513,102,
2132249,2,249235,Hoboken,"0514",0,0514,2,
2132645,2,249235,Bay Street (Montclair),"0515",1,0515,102,
2132247,2,249235,Hoboken,"0518",0,0518,2,
2132646,2,249235,Bay Street (Montclair),"0519",1,0519,102,
2132250,2,249235,Hoboken,"0522",0,0522,2,
2132647,2,249235,Bay Street (Montclair),"0523",1,0523,102,
2132251,2,249235,Hoboken,"0526",0,0526,2,
2132648,2,249235,Bay Street (Montclair),"0527",1,0527,102,
2142404,2,249966,Hoboken,"0530",0,0530,2,
2132649,2,249235,Bay Street (Montclair),"0531",1,0531,102,
2132252,2,249235,Hoboken,"0534",0,0534,2,
2132650,2,249235,Bay Street (Montclair),"0535",1,0535,102,
2132253,2,249235,Hoboken,"0538",0,0538,2,
2132651,2,249235,Bay Street (Montclair),"0539",1,0539,102,
2134525,2,249240,Hoboken,"0544",0,0544,2,
2132652,2,249235,Bay Street (Montclair),"0545",1,0545,102,
2131398,7,249232,Hoboken,"0600",0,0600,7,
2131424,7,249232,Dover,"0607",1,0607,107,
2133840,7,249283,Hoboken,"0626",0,0626,7,
2134796,7,249456,Dover,"0643",1,0643,107,
2131427,7,249232,Dover,"0657",1,0657,107,
2131425,7,249232,Hoboken,"0660",0,0660,7,
2131429,7,249232,Dover,"0665",1,0665,107,
2131430,7,249232,Hoboken,"0674",0,0674,7,
2134529,8,249240,Gladstone,"0703",1,0703,108,
2134530,8,249240,Gladstone,"0705",1,0705,108,
2132328,8,249235,Gladstone,"0713",1,0713,108,
2132330,8,249235,Gladstone,"0715",1,0715,108,
2132331,8,249235,Summit,"0716",0,0716,8,
2132332,8,249235,Gladstone,"0717",1,0717,108,
2132335,8,250429,Gladstone,"0719",1,0719,108,
2132336,8,249235,Summit,"0720",0,0720,8,
2132334,8,250049,Gladstone,"0721",1,0721,108,
2132338,8,250047,Gladstone,"0723",1,0723,108,
2132339,8,249235,Summit,"0724",0,0724,8,
2132340,8,249904,Gladstone,"0725",1,0725,108,
2132343,8,249235,Gladstone,"0727",1,0727,108,
2132344,8,249235,Summit,"0728",0,0728,8,
2132341,8,249235,Gladstone,"0729",1,0729,108,
2132346,8,249235,Gladstone,"0731",1,0731,108,
2132347,8,249235,Summit,"0732",0,0732,8,
2132348,8,249235,Gladstone,"0733",1,0733,108,
2132350,8,249235,Gladstone,"0735",1,0735,108,
2132351,8,249235,Summit,"0736",0,0736,8,
2132352,8,249235,Gladstone,"0737",1,0737,108,
2132354,8,249235,Gladstone,"0739",1,0739,108,
2132355,8,249235,Summit,"0740",0,0740,8,
2132356,8,249235,Gladstone,"0741",1,0741,108,
2132359,8,249235,Gladstone,"0743",1,0743,108,
2134522,8,249240,Summit,"0746",0,0746,8,
2134797,7,249232,Lake Hopatcong,"0807",1,0807,107,
2131431,7,249232,Hoboken,"0808",0,0808,7,
2131767,7,249232,Hoboken,"0852",0,0852,7,
