stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
87,GO,"Millington","GSMLGTN",40.673515,-74.523606,3661,,,,,
88,MK,"Monmouth Park","NCMONPK",40.313425,-74.015172,,,,,,
89,HS,"Montclair Heights","BLMCRHT",40.857536,-74.2025,1613,,,,,
90,UV,"Montclair State University","BLUNVRST",40.869782,-74.197439,1613,,,,,
91,ZM,"Montvale","PVMNTVL",41.040879,-74.029152,2637,,,,,
92,MX,"Morris Plains","MEMRPLN",40.828639,-74.478197,4173,,,,,
93,MR,"Morristown","MEMRSTN",40.797113,-74.474086,3661,,,,,
94,HV,"Mount Arlington","MEHWDBL",40.89659,-74.632731,4941,,,,,
95,OL,"Mount Olive","MEMTOLVZ",40.907376,-74.730653,4941,,,,,
96,TB,"Mount Tabor","MEMTTAB",40.875904,-74.481915,4173,,,,,
97,MS,"Mountain Ave.","BLMTNAV",40.848715,-74.205306,1613,,,,,
98,ML,"Mountain Lakes","BLMTNLK",40.885947,-74.433604,3661,,,,,
99,MT,"Mountain Sta.","MEMNTN",40.755367,-74.253024,1357,,,,,
100,MV,"Mountain View","BLMTNVW",40.914402,-74.268158,2381,,,,,
101,MH,"Murray Hill","GSMRYHLZ",40.69507,-74.403134,2637,,,,,
102,NN,"Nanuet","PVNANUE",41.090015,-74.014794,4941,,,,,
103,NT,"Netcong","MENTCNG",40.897552,-74.707317,4941,,,,,
104,NE,"Netherwood","RVNTHWD",40.629148,-74.403455,2637,,,,,
105,NH,"New Bridge Landing","PVNHACK",40.910856,-74.035044,1613,,,,,
106,NB,"New Brunswick","NBK",40.497278,-74.445751,3661,,,,,
107,NC,"New Carrollton","NCR",38.948,-76.8719,,,,,,
108,NV,"New Providence","GSNWPRV",40.712022,-74.386501,2381,,,,,
111,ND,"Newark Broad St.","MEBROAD",40.747621,-74.171943,589,,,,,
110,NA,"Newark Int'l Airport","NWKAPT",40.704415,-74.190717,1345,,,,,
112,NP,"Newark Penn Station","NWK",40.734221,-74.164557,336,,,,,
113,OR,"North Branch","RVNBRAN",40.59202,-74.683802,4685,,,,,
114,NZ,"North Elizabeth","NELZ",40.680265,-74.206165,1357,,,,,
115,NF,"North Philadelphia","PHN",39.9972,-75.1552,,,,,,
116,OD,"Oradell","PVORADL",40.953478,-74.029983,1869,,,,,
117,OG,"Orange","MEORNGE",40.771883,-74.233103,1101,,,,,
118,OS,"Otisville","STOTSVLZ",41.471784,-74.529212,6221,,,,,
119,PV,"Park Ridge","PVPKRDG",41.032305,-74.036164,2637,,,,,
120,PS,"Passaic","MLPASIC",40.849413,-74.13393,1101,,,,,
121,RN,"Paterson","MLPTRSN",40.914887,-74.16733,1613,,,,,
122,PC,"Peapack","GSPEAPK",40.708794,-74.658469,4685,,,,,
123,PQ,"Pearl River","PVPRLRV",41.058181,-74.02232,4941,,,,,
109,NY,"Penn Station New York","NYP",40.750048,-73.992358,329,,,,,
124,PN,"Pennsauken","PENNSAUK",39.97777,-75.06179,5197,,,,,
125,PE,"Perth Amboy","NCPAMBY",40.509398,-74.273752,3149,,,,,
126,PH,"Philadelphia 30th St.","PHL",39.956565,-75.182327,5961,,,,,
127,PF,"Plainfield","RVPLNFD",40.618425,-74.420163,2893,,,,,
128,PL,"Plauderville","BCPLDVL",40.884916,-74.102695,1357,,,,,
129,PP,"Point Pleasant","NCPTPLB",40.092718,-74.048191,5965,,,,,
130,PO,"Port Jervis","STPJRVS",41.374899,-74.694622,6477,,,,,
132,PJ,"Princeton Junction","PJC",40.316316,-74.623753,4941,,,,,
131,PR,"Princeton Station","PRNSTA",40.342088,-74.65887,25421,,,,,
133,FZ,"Radburn","BCRDBRN",40.938889,-74.121992,1613,,,,,
134,RH,"Rahway","RAHW",40.606338,-74.276692,2125,,,,,
135,RY,"Ramsey","MLRAMSY",41.056422,-74.141877,3149,,,,,
137,RA,"Raritan","RVRARTN",40.571007,-74.634364,4429,,,,,
138,RB,"Red Bank","NCRDBNK",40.348284,-74.074538,4685,,,,,
139,RW,"Ridgewood","MLRDGWD",40.980629,-74.120592,2381,,,,,
140,RG,"River Edge","PVRVEDG",40.935146,-74.02914,1613,,,,,
141,RL,"Roselle Park","LVRSLPK",40.667152,-74.26632,1613,,,,,
